0;0;0.03;
0;0.02;0.4506373;
0;0.04;0.4468666;
0;0.06;0.4470479;
0;0.08000001;0.4459162;
0;0.1;0.4465989;
0;0.12;0.4461325;
0;0.14;0.4465253;
0;0.16;0.4473433;
0;0.18;0.4471753;
0;0.2;0.4459384;
0;0.22;0.4443541;
0;0.24;0.4411698;
0;0.26;0.4337613;
0;0.28;0.4256027;
0;0.3;0.416339;
0;0.32;0.4069582;
0;0.34;0.3959014;
0;0.36;0.3828339;
0;0.38;0.3691317;
0;0.4;0.3563204;
0;0.42;0.3365981;
0;0.44;0.3140911;
0;0.46;0.2888739;
0;0.48;0.2606606;
0;0.5000001;0.2319409;
0;0.52;0.2044981;
0;0.54;0.1851414;
0;0.5600001;0.1747683;
0;0.58;0.1672585;
0;0.6;0.1620423;
0;0.6200001;0.1581449;
0;0.64;0.1568813;
0;0.66;0.1561323;
0;0.6800001;0.1560307;
0;0.7;0.1559699;
0;0.72;0.1562753;
0;0.7400001;0.1604916;
0;0.7600001;0.1696621;
0;0.78;0.1824811;
0;0.8000001;0.2045191;
0;0.8200001;0.2358958;
0;0.84;0.270623;
0;0.8600001;0.3019932;
0;0.8800001;0.3253804;
0;0.9;0.3390499;
0;0.9200001;0.3413587;
0;0.9400001;0.3413324;
0;0.96;0.339391;
0;0.9800001;0.3371883;
0;1;0.3350692;
0;1.02;0.3330169;
0;1.04;0.3313263;
0;1.06;0.3302185;
0;1.08;0.3292936;
0;1.1;0.3283096;
0;1.12;0.3269871;
0;1.14;0.3224715;
0;1.16;0.3178686;
0;1.18;0.3073313;
0;1.2;0.272219;
0;1.2;0.03;
